id,name,value
future_hope_advocate,Advocate For Children In Need,advocate for children in need
future_hope_university,Earn A University Degree,earn a university degree
future_hope_family,Raise A Family,raise a family
future_hope_church,Serve In Their Local Church,serve in their local church
future_hope_community,Serve In Their Local Community,serve in their local community
future_hope_jesus,Share The Love Of Jesus With Others,share the love of jesus with others
future_hope_business,Start A Business,start a business
future_hope_unknown,Unknown/Not Available,Unknown
