id,name,value
icp_occupation_herding,Animal Herding,Animal herding
icp_occupation_day_labor,Day Labor,Day labor
icp_occupation_domestic,Domestic Services,Domestic services
icp_occupation_factory,Factory Work,Factory work
icp_occupation_fishing,Fishing,Fishing
icp_occupation_market_trading,Petty/Market Trading,Market trading
icp_occupation_plantation,Plantation Work,Plantation work
icp_occupation_street_vending,Street Vending,Street vending
icp_occupation_farming,Subsistence Farming,Subsistence farming
